Time,Cars_inside,Total_spaces,Free_spaces,Air_value,Gate_status
11:48:03,7,10,3,39,ALLOW
11:48:04,7,10,3,39,ALLOW
11:48:05,7,10,3,39,ALLOW
11:48:06,7,10,3,40,ALLOW
11:48:07,7,10,3,39,ALLOW
11:48:08,7,10,3,35,ALLOW
11:48:09,7,10,3,35,ALLOW
11:48:10,7,10,3,35,ALLOW
11:48:11,7,10,3,34,ALLOW
11:48:12,7,10,3,34,ALLOW
11:48:13,7,10,3,34,ALLOW
11:48:14,7,10,3,34,ALLOW
11:48:15,7,10,3,34,ALLOW
11:48:16,7,10,3,34,ALLOW
11:48:17,7,10,3,35,ALLOW
11:48:18,7,10,3,34,ALLOW
11:48:19,7,10,3,35,ALLOW
11:48:20,7,10,3,34,ALLOW
11:48:21,7,10,3,35,ALLOW
11:48:22,7,10,3,34,ALLOW
11:48:23,7,10,3,35,ALLOW
11:48:24,7,10,3,34,ALLOW
11:48:25,7,10,3,34,ALLOW
11:48:26,7,10,3,34,ALLOW
11:48:27,7,10,3,34,ALLOW
11:48:28,7,10,3,34,ALLOW
11:48:29,7,10,3,34,ALLOW
11:48:30,7,10,3,34,ALLOW
11:48:31,7,10,3,34,ALLOW
11:48:32,7,10,3,34,ALLOW
11:48:33,7,10,3,34,ALLOW
11:48:34,7,10,3,34,ALLOW
11:48:35,7,10,3,34,ALLOW
11:48:36,7,10,3,34,ALLOW
11:48:37,7,10,3,34,ALLOW
11:48:38,7,10,3,34,ALLOW
11:48:39,7,10,3,34,ALLOW
11:48:40,7,10,3,34,ALLOW
11:48:41,7,10,3,34,ALLOW
11:48:42,7,10,3,34,ALLOW
11:48:43,7,10,3,34,ALLOW
11:48:44,7,10,3,34,ALLOW
11:48:45,7,10,3,33,ALLOW
11:48:46,7,10,3,34,ALLOW
11:48:47,7,10,3,34,ALLOW
11:48:48,7,10,3,34,ALLOW
11:48:49,7,10,3,34,ALLOW
11:48:50,7,10,3,33,ALLOW
11:48:51,7,10,3,34,ALLOW
11:48:52,7,10,3,34,ALLOW
11:48:53,7,10,3,34,ALLOW
11:48:54,7,10,3,34,ALLOW
11:48:55,7,10,3,34,ALLOW
11:48:56,7,10,3,35,ALLOW
11:48:57,7,10,3,36,ALLOW
11:48:58,7,10,3,35,ALLOW
11:48:59,7,10,3,36,ALLOW
11:49:00,7,10,3,36,ALLOW
11:49:01,7,10,3,36,ALLOW
11:49:02,7,10,3,35,ALLOW
11:49:03,7,10,3,36,ALLOW
11:49:04,7,10,3,35,ALLOW
11:49:05,7,10,3,36,ALLOW
11:49:06,6,10,4,35,ALLOW
11:49:07,6,10,4,35,ALLOW
11:49:08,6,10,4,35,ALLOW
11:49:09,6,10,4,34,ALLOW
11:49:10,6,10,4,35,ALLOW
11:49:11,6,10,4,35,ALLOW
11:49:12,6,10,4,35,ALLOW
11:49:13,6,10,4,35,ALLOW
11:49:14,6,10,4,35,ALLOW
11:49:15,6,10,4,35,ALLOW
11:49:16,6,10,4,35,ALLOW
11:49:17,6,10,4,35,ALLOW
11:49:18,6,10,4,35,ALLOW
11:49:19,6,10,4,36,ALLOW
11:49:20,6,10,4,35,ALLOW
11:49:21,6,10,4,35,ALLOW
11:49:22,6,10,4,35,ALLOW
11:49:23,6,10,4,35,ALLOW
11:49:24,6,10,4,35,ALLOW
11:49:25,6,10,4,35,ALLOW
11:49:26,6,10,4,35,ALLOW
11:49:27,6,10,4,36,ALLOW
11:49:28,6,10,4,35,ALLOW
11:49:29,6,10,4,35,ALLOW
11:49:30,6,10,4,35,ALLOW
11:49:31,6,10,4,35,ALLOW
11:49:32,6,10,4,35,ALLOW
11:49:33,6,10,4,34,ALLOW
11:49:34,6,10,4,34,ALLOW
11:49:35,6,10,4,34,ALLOW
11:49:36,6,10,4,34,ALLOW
11:49:37,6,10,4,34,ALLOW
11:49:38,6,10,4,34,ALLOW
11:49:39,6,10,4,34,ALLOW
11:49:40,6,10,4,34,ALLOW
11:49:41,6,10,4,34,ALLOW
11:49:42,6,10,4,34,ALLOW
11:49:43,6,10,4,34,ALLOW
11:49:44,6,10,4,34,ALLOW
11:49:45,6,10,4,34,ALLOW
11:49:46,6,10,4,34,ALLOW
11:49:47,6,10,4,35,ALLOW
11:49:48,6,10,4,34,ALLOW
11:49:49,6,10,4,34,ALLOW
11:49:50,6,10,4,34,ALLOW
11:49:51,6,10,4,34,ALLOW
11:49:52,6,10,4,34,ALLOW
11:49:53,6,10,4,34,ALLOW
11:49:53,6,10,4,34,ALLOW
11:49:54,6,10,4,35,ALLOW
11:49:55,6,10,4,34,ALLOW
11:49:57,6,10,4,34,ALLOW
11:49:58,6,10,4,34,ALLOW
11:49:59,6,10,4,34,ALLOW
11:50:00,6,10,4,34,ALLOW
11:50:01,6,10,4,35,ALLOW
11:50:02,6,10,4,35,ALLOW
11:50:03,6,10,4,34,ALLOW
11:50:04,6,10,4,34,ALLOW
11:50:05,6,10,4,34,ALLOW
11:50:06,6,10,4,34,ALLOW
11:50:07,6,10,4,34,ALLOW
11:50:08,6,10,4,34,ALLOW
11:50:09,6,10,4,35,ALLOW
11:50:10,6,10,4,35,ALLOW
11:50:11,6,10,4,34,ALLOW
11:50:12,6,10,4,35,ALLOW
11:50:13,6,10,4,34,ALLOW
11:50:14,6,10,4,35,ALLOW
11:50:15,6,10,4,34,ALLOW
11:50:16,6,10,4,34,ALLOW
11:50:17,6,10,4,34,ALLOW
11:50:18,6,10,4,34,ALLOW
11:50:19,6,10,4,34,ALLOW
11:50:20,6,10,4,34,ALLOW
11:50:21,6,10,4,34,ALLOW
11:50:22,6,10,4,34,ALLOW
11:50:23,6,10,4,34,ALLOW
11:50:24,6,10,4,34,ALLOW
11:50:25,6,10,4,34,ALLOW
11:50:26,6,10,4,34,ALLOW
11:50:26,6,10,4,34,ALLOW
11:50:27,6,10,4,34,ALLOW
11:50:29,6,10,4,34,ALLOW
11:50:30,6,10,4,34,ALLOW
11:50:31,6,10,4,34,ALLOW
11:50:32,6,10,4,34,ALLOW
11:50:33,6,10,4,34,ALLOW
11:50:34,6,10,4,34,ALLOW
11:50:35,6,10,4,34,ALLOW
11:50:36,6,10,4,34,ALLOW
11:50:37,6,10,4,35,ALLOW
11:50:38,6,10,4,35,ALLOW
11:50:39,6,10,4,35,ALLOW
11:50:40,6,10,4,35,ALLOW
11:50:41,6,10,4,35,ALLOW
11:50:42,6,10,4,35,ALLOW
11:50:43,6,10,4,35,ALLOW
